id,loss
4,1527.9209375
6,1724.57772461
9,9464.991875
12,5806.35583984
15,812.953483887
17,2574.52911133
21,2159.65186035
28,811.603974609
32,2623.98563477
43,3116.90318359
46,2497.69544922
50,906.343400879
54,1220.93161133
62,2452.01279297
70,2203.65411621
71,5003.43888672
75,2357.51589844
77,2110.56571289
81,2551.22905273
83,2025.86583008
87,1781.61109863
97,2574.53011719
103,911.766838379
119,1061.02817383
120,1366.37069336
127,864.835373535
138,4835.88097656
141,2883.47174805
148,879.425400391
150,2417.37137695
151,2171.32594238
158,1597.85797363
160,5474.17699219
165,2769.89125
168,3833.34449219
169,3943.76632813
177,3100.60581055
178,3138.27490234
184,2098.83740234
194,7703.09371094
198,1554.0710498
203,4317.62786133
211,2213.27779297
217,1260.41101074
219,1032.39841309
221,4768.21958008
227,1808.07916016
230,1242.84506348
235,1855.14524902
240,818.770981445
243,2568.77751953
249,5672.49320313
253,2906.74320313
258,1458.11478516
261,1756.98702637
263,3045.61401367
264,3678.28474609
265,4212.3684082
268,1990.12640137
271,1058.38081543
274,5415.43025391
275,905.891584473
279,1249.10254883
282,1711.18655762
286,3261.44222656
288,1220.44944824
294,2525.49255859
296,1049.68811035
297,1538.45493164
300,736.621760254
303,10452.4056641
314,1232.33873535
315,4940.79910156
321,2025.86941895
323,4116.56293945
330,2763.16038086
341,1641.67557129
342,5157.34689453
352,1563.4469873
353,3081.67708984
360,6507.65382812
361,2257.49689941
362,4153.78276367
366,1206.93601562
372,3220.9643457
376,2723.09303711
377,2182.49746582
379,1752.65815918
380,3997.62868164
387,1999.82730469
392,1736.34558105
394,11137.4878125
395,1439.37898926
397,1577.76946289
407,5677.28816406
411,8738.28330078
416,2661.19765625
417,1571.06291992
419,4296.06944336
428,6256.41068359
431,1623.06332031
436,8641.1028125
438,1489.60440918
445,6304.78351563
446,7115.96984375
455,1681.59171875
456,1203.60320801
461,909.569472656
463,1589.15125977
464,3443.04580078
466,1655.47762695
467,1012.00099121
470,1325.62101562
475,1583.48779297
482,3420.27981445
490,3555.57300781
496,1641.34873535
497,4468.08758789
508,3009.11481445
510,2094.55209473
512,1891.24303711
513,2970.46073242
523,2327.39984863
531,4961.56087891
532,2627.82390625
533,1248.20669434
537,1218.31290039
544,4847.92332031
547,2888.89939453
556,7215.40294922
565,1340.30520508
566,1389.80817383
571,1638.35629395
573,1536.22378906
574,881.239475098
581,1524.62400391
585,2043.77477051
589,1659.79199219
597,1721.0796582
601,2892.68799805
602,1688.06750977
613,1419.16080566
616,1637.58905273
619,1661.55774414
622,1817.95237305
623,1968.80505371
629,1741.75596191
634,1458.49546875
638,988.390563965
642,1168.45929688
643,2148.34987305
645,1068.43518311
648,8631.96767578
652,1249.26280762
664,1006.19543457
666,2301.30542969
672,797.667011719
676,1891.5779248
678,4535.82988281
682,1833.04475586
686,2774.58536133
688,2088.0676709
689,1143.27303223
690,1880.37143555
692,10174.5822266
695,1706.40461426
697,4810.95203125
698,2419.52493164
706,2287.30628906
708,1399.01699219
712,2416.93198242
715,3444.14740234
717,1277.66910645
725,2906.5169043
729,945.911328125
737,1281.76849121
739,5270.20078125
747,4212.69227539
753,2852.42207031
758,2692.72544922
759,2028.87199707
763,1689.43647949
773,3770.31801758
774,2211.00777832
776,1399.1741748
788,2857.23580078
790,3208.58431641
794,893.994606934
801,3706.24334961
802,1287.53462891
805,1307.53609863
809,5258.55597656
812,1518.89503906
825,2220.78814453
828,1903.65106445
830,1217.44562012
833,1024.61064941
850,6459.83123047
852,6597.33083984
862,1530.97310059
863,1289.9607666
864,1328.58701172
865,3600.78632813
868,5517.94591797
872,1432.61434082
879,5447.37884766
880,1266.4826416
883,1321.23493164
886,1582.92677734
923,1552.83069824
924,1544.27163086
932,1337.05197266
945,6637.87238281
947,8059.93767578
948,2132.13556152
955,2929.90620117
963,3939.83827148
979,1097.98905518
989,1127.93718018
994,3049.0671582
995,1732.91100098
998,1609.74942383
1000,3819.50958008
1018,1802.92011719
1019,1694.25307129
1028,2308.80005859
1034,1614.3163623
1038,1842.44421875
1040,1389.4201123
1042,1356.29101074
1057,6869.88539062
1058,2326.23533203
1063,1073.74723877
1066,4106.76530273
1071,3948.60066406
1073,3152.94673828
1074,2353.82685547
1077,2635.27119629
1080,10847.3758203
1088,974.351765137
1096,678.481398926
1097,10564.420625
1105,5299.14324219
1115,2002.64350586
1116,2757.44376953
1122,1996.20171387
1130,4293.46186523
1133,870.15786377
1137,2091.13501465
1140,2151.38340332
1143,9341.44089844
1149,6882.07529297
1150,954.0696875
1153,728.931208496
1157,1225.17540039
1180,585.494500732
1183,913.554233398
1188,1703.15595703
1193,995.000124512
1200,857.372578125
1209,3843.40033203
1214,2210.83927246
1219,2167.67873535
1223,6662.09519531
1227,887.372741699
1228,1379.87925293
1229,3769.97893555
1233,1172.82213135
1238,4614.69949219
1239,2100.47968262
1241,3569.0103418
1243,1795.15003418
1244,1314.66356934
1245,3876.63761719
1277,4456.16305664
1279,2977.44018555
1292,12282.8416797
1293,1555.12214844
1299,10420.2159766
1304,2706.16685547
1313,3249.1019043
1328,2394.24388672
1330,1194.26081543
1334,1490.40677734
1335,1231.58355469
1336,5421.45189453
1341,950.482351074
1344,1239.32530762
1351,895.139165039
1352,2214.30978027
1354,1514.64004883
1368,3564.5793457
1373,1342.54442383
1375,721.579870605
1381,1603.26805664
1384,3194.90294922
1385,3837.43727539
1388,5301.94023437
1401,5433.97355469
1402,2394.35560547
1404,1467.46845215
1406,1053.71600098
1409,1198.78901855
1422,1320.04224609
1429,3504.17223633
1433,6046.39386719
1438,1356.27091797
1444,1073.89788818
1446,1016.66269287
1450,960.529018555
1451,785.916533203
1454,1692.88401367
1458,2062.06494141
1461,3476.02035156
1464,6878.98882812
1465,975.81536377
1478,1817.99606934
1479,1738.19742676
1480,2778.94451172
1484,2240.65113281
1486,920.800341797
1488,821.418010254
1489,3483.63026367
1491,1074.20487549
1507,1745.8259375
1515,1858.38800781
1519,2735.02507813
1528,1607.04264648
1529,912.695915527
1530,3140.95275391
1532,998.165026855
1541,1810.86321777
1542,3266.24472656
1547,1386.19300781
1549,1175.41586914
1553,2899.75750977
1554,3067.08110352
1555,1388.49071289
1559,1381.99863281
1565,1775.09684082
1568,1383.6362207
1576,3702.64988281
1579,894.093913574
1592,947.483400879
1596,3333.04644531
1605,824.964470215
1607,1378.67213379
1612,1460.78723145
1617,2823.15768555
1619,2466.91160156
1620,9432.81808594
1624,2042.24780273
1627,1219.95628418
1633,1913.19916992
1636,1250.78208496
1639,991.343649902
1640,3406.34299805
1644,844.443845215
1646,1521.8778418
1647,2811.37575195
1654,1515.63286621
1655,2864.78879883
1664,6144.42558594
1665,2508.23925781
1667,4354.45335938
1669,1053.92302979
1678,1761.92818359
1682,1817.50824219
1689,1024.04161133
1690,2931.36570312
1693,5898.83035156
1695,915.068459473
1705,2215.66725586
1706,2851.26518555
1708,2268.42071289
1716,1695.20364258
1720,8550.31050781
1722,1844.31699219
1749,4535.77886719
1750,1759.32787598
1751,5480.19367188
1760,2602.93602539
1763,3724.78871094
1770,1304.92415039
1777,1922.97319336
1785,4958.73001953
1791,1114.18033203
1794,4906.83984375
1800,1285.04806641
1816,1287.689375
1817,887.630627441
1821,2932.68139648
1836,1306.92385254
1838,1686.0122168
1851,1551.97500977
1852,2741.25666016
1854,2519.33518555
1856,843.357956543
1865,786.217993164
1872,1270.43153809
1878,723.499538574
1880,1159.90024902
1881,1339.76052246
1882,1426.75088379
1886,846.347612305
1892,1555.7663916
1894,2576.55387695
1898,2784.36404297
1899,2071.72253906
1902,1209.58653564
1903,4598.56589844
1906,1300.18355469
1910,1841.58161133
1911,1737.47568359
1914,3397.96458984
1929,3411.21026367
1932,1632.07967285
1952,993.810895996
1959,1255.7707373
1960,1669.61656738
1976,3413.89085938
1980,2859.18645508
1981,1567.45399902
1987,1813.38708008
1994,1290.3454248
2000,1005.62232666
2008,1839.57527344
2011,1901.21560059
2012,5018.26556641
2019,1746.18494629
2022,3136.06389648
2024,8498.40613281
2028,1144.05544434
2030,3415.81050781
2031,7195.91955078
2047,1953.62647461
2049,873.789064941
2050,1280.01397461
2051,4393.7021582
2056,1755.98790039
2057,1165.84736816
2059,2357.79889648
2069,3739.49391602
2085,1510.47817871
2089,1106.23386475
2090,1830.20513672
2101,2705.48939453
2114,2958.44735352
2115,1470.64313965
2118,1282.16775391
2119,2213.55010254
2125,1608.79103516
2128,3044.63854492
2129,1588.75775879
2132,1543.11361328
2133,2318.08288086
2135,697.034802246
2136,1758.52015137
2143,1193.01989258
2144,1231.40162598
2145,3448.06635742
2152,2039.68147949
2160,3122.03144531
2166,1372.81320312
2169,1316.49291992
2170,1728.82115234
2172,1387.7559082
2181,1731.69811035
2183,1802.25282227
2185,2724.18289062
2188,2505.28326172
2189,2038.86332031
2194,4178.53083984
2202,1561.95312012
2208,2760.12791016
2227,1851.21023438
2230,5516.69638672
2235,2033.57512207
2236,1783.68950684
2244,7445.30113281
2248,1387.87055176
2252,1550.38245117
2254,1545.90791016
2260,3735.60505859
2263,1941.4851416
2274,1710.25712402
2277,975.234338379
2279,6733.07458984
2280,12225.9393359
2283,3208.82121094
2284,820.328215332
2288,3650.76512695
2292,1730.62800781
2295,4991.76478516
2296,1164.35158203
2299,2305.78592773
2315,6299.47744141
2318,1529.62676758
2329,10620.3680859
2337,1771.95555664
2340,1096.68644043
2342,1766.5759668
2347,3469.18546875
2349,4204.51708008
2354,1291.45045898
2361,2293.45423828
2370,1739.35191406
2378,3288.47919922
2382,4032.05883789
2387,1602.48965332
2389,1790.21054688
2394,1294.02006836
2396,2044.95199219
2400,2987.88770508
2407,2959.25054688
2414,1210.2216748
2415,1764.89040527
2421,1895.58961914
2427,1698.0801123
2428,2938.59501953
2430,2593.75009766
2435,2122.46655762
2445,5263.67943359
2446,1608.50165039
2447,1359.92317871
2449,1955.48084473
2451,1992.88522949
2458,13750.8924609
2462,10079.0335156
2463,3419.73883789
2467,2909.69604492
2471,6800.4871875
2475,2078.96401367
2478,2851.36236328
2483,4810.99382812
2485,1179.48149902
2487,1223.12490723
2494,633.520732422
2497,1690.27851562
2499,1366.17274414
2503,1516.04763672
2513,2715.55617188
2515,2166.74639648
2522,1386.87356445
2523,1347.19856445
2528,2948.34973633
2532,5187.41763672
2536,1065.83106689
2538,1797.97000488
2539,1009.50368652
2540,2391.34117187
2545,5562.95550781
2548,1333.95331543
2549,804.600446777
2553,2201.72252441
2563,1483.06025879
2566,2151.67428223
2574,1403.63513184
2575,2578.00641602
2584,2806.63445313
2588,2863.48069336
2589,904.437841797
2592,1509.80941406
2596,1431.67877441
2598,1324.12557129
2602,1242.82345703
2603,1084.32511963
2607,2344.4212793
2609,1366.52687988
2611,5305.01626953
2627,1532.83633789
2628,1972.4366748
2630,2480.30989746
2633,2100.4078125
2636,7555.69970703
2640,1147.97644531
2641,1242.26115723
2657,4383.45058594
2659,982.060043945
2662,1196.64677734
2663,1884.45942383
2667,1929.17821289
2670,836.98838623
2682,2061.61383301
2694,3028.43841797
2699,6437.29087891
2700,3412.28249023
2703,6383.45304687
2708,1826.90376953
2714,832.259321289
2725,939.673376465
2726,1187.19075928
2727,849.359472656
2732,2057.55351562
2733,6027.32755859
2736,5510.48123047
2745,2744.12814453
2760,1368.8673877
2764,2142.26770508
2765,5666.4725
2766,691.063474121
2775,1594.49831543
2783,1613.53930176
2784,1161.50118652
2786,1829.46419922
2801,1251.07716309
2803,1961.23352539
2813,5864.12283203
2815,7467.59703125
2816,1714.19495117
2818,2740.72908203
2819,3466.83951172
2822,1360.85504395
2825,1379.14891602
2826,1430.47363281
2830,1494.71161621
2834,1229.51325684
2835,5222.50486328
2856,2613.77880859
2873,6365.48175781
2886,6156.62029297
2892,3695.19379883
2896,964.705385742
2897,906.054902344
2899,1972.15383301
2901,1140.69790527
2909,5216.7284375
2914,3438.37837891
2915,1252.20697754
2916,1871.81826172
2919,824.61918457
2926,2517.08307129
2927,2062.81683105
2933,1537.4543457
2934,3264.86386719
2941,1675.76247559
2942,1890.11525391
2946,2330.48121094
2949,1691.92572266
2952,1525.93825195
2957,9304.01292969
2962,2476.62241211
2963,969.164680176
2965,1915.87852539
2966,6155.84369141
2971,2686.89750977
2975,779.364655762
2979,1130.34778809
2985,9905.58660156
2995,2684.44251953
2996,1511.57783691
3001,3727.52917969
3007,2459.58262207
3008,993.795014648
3014,3778.41375977
3017,11654.3484375
3021,1178.84303223
3025,2466.59893555
3026,832.955527344
3034,2464.57269531
3035,2186.93582031
3044,2805.29729492
3046,3105.92359375
3047,5205.13822266
3057,3378.88175781
3059,5866.91230469
3063,4955.63587891
3065,1368.23905762
3067,2640.62831055
3069,1530.57320312
3076,3313.99314453
3086,1091.06719727
3088,1979.19463379
3090,1795.31303223
3096,2606.75509766
3100,1034.18921387
3102,2072.26678223
3103,2491.83557617
3107,1076.94273926
3118,1444.81426758
3120,4468.68207031
3123,2209.8675293
3128,1228.77769043
3132,1552.64744141
3140,1732.4040332
3152,2418.84724609
3165,2289.23045898
3183,1069.52853516
3190,1043.48244873
3197,2288.76003418
3201,1195.34183594
3203,1914.87676758
3214,2142.44635254
3219,2131.86760254
3220,1348.57925293
3221,3926.71833984
3229,1815.65338867
3234,1187.56259766
3235,3527.66280273
3240,1869.72218262
3241,1602.43642578
3249,2158.75293945
3254,752.155065918
3264,3404.88605469
3266,2387.0422168
3270,706.208703613
3282,1707.05978027
3285,1699.38770996
3289,1172.82249512
3291,1641.45664551
3295,1859.68150879
3299,841.331240234
3302,1367.20655273
3303,5979.69298828
3308,3045.03019531
3309,3470.54580078
3324,1706.69513184
3327,4804.71755859
3330,4151.83558594
3335,1382.1501416
3339,1803.97306152
3340,2418.92208008
3343,1242.01644043
3350,3242.49202148
3353,1511.90632324
3356,9235.04335938
3361,3120.48679687
3368,977.554841309
3376,1448.3476123
3381,977.632429199
3383,2318.26799316
3397,3203.29313477
3403,2400.49224609
3405,1895.63911621
3410,1372.53272949
3412,2682.6634375
3416,2786.79610352
3417,1618.50324707
3423,3396.10709961
3427,5639.42347656
3435,2784.2094043
3439,1391.59116699
3441,2247.1705957
3450,1438.22417969
3453,936.805019531
3454,1276.3592041
3458,8263.75119141
3459,2199.9315332
3467,4275.9803125
3469,4785.04519531
3477,1075.86895264
3478,9258.7078125
3482,1052.83814941
3484,4821.73966797
3506,2229.61241211
3515,7259.56816406
3522,4275.65442383
3523,1665.84275879
3526,959.503232422
3532,1348.38135254
3534,1597.03863281
3537,1297.66001953
3539,991.335976563
3542,4593.62431641
3545,1028.20852783
3552,1342.11158203
3554,1209.70972168
3573,2193.04443848
3576,1022.13984863
3577,3120.85484375
3580,1728.1085791
3583,1445.37068359
3584,1451.59203125
3609,1155.05018555
3613,4881.80070312
3623,2258.94639648
3624,3459.10970703
3638,8283.113125
3642,1657.84299316
3643,1811.60810059
3647,1353.86578125
3653,1808.41227051
3654,3956.24941406
3656,1544.80559082
3658,900.366010742
3659,4199.12212891
3663,6727.98248047
3664,2839.65735352
3666,865.432033691
3681,1156.76000977
3689,2701.85672852
3694,2753.05239258
3695,1427.23762695
3699,1600.22876465
3701,1615.15000977
3704,3318.73985352
3721,1015.61617432
3726,4534.25867187
3727,2265.60158203
3729,2452.96210938
3731,4246.14511719
3738,1274.77047363
3740,2657.32839844
3744,1609.97775879
3757,1106.0626416
3758,832.836843262
3778,1576.58320312
3781,4261.82960937
3790,6398.62429688
3796,797.735810547
3798,7817.10808594
3804,1074.0121167
3813,1085.79066406
3814,1193.6179834
3815,2548.64947266
3818,1903.8745752
3823,2492.07494141
3826,7740.81417969
3831,1731.09419922
3834,3158.5237207
3835,2661.36945312
3849,2689.31787109
3850,2405.11959961
3855,2366.12545898
3864,2446.12134766
3867,2019.25017578
3871,1140.29321289
3879,1932.73861328
3880,2799.62316406
3882,5888.65830078
3884,9271.14183594
3893,1702.52549805
3895,1336.48181152
3901,3247.56603516
3903,862.670717773
3913,1408.12546387
3921,2111.14821289
